Time,Fuse_MCCB,MCCB,Fuse,HCB,SSCB
3.080082135523614,8.629433423390509e-8,3.570117462659006e-6,1.1720077240928717e-6,7.66382918238051e-7,8.58664785940988e-8
3.1485284052019162,8.824272601515304e-8,3.6271030849910346e-6,1.2065618177903303e-6,7.743476000410254e-7,8.781266946922273e-8
3.216974674880219,9.024238090127312e-8,3.686212590725546e-6,1.2424570925428924e-6,7.825727312837927e-7,8.981004129271497e-8
3.2854209445585214,9.229363173712812e-8,3.7474751675148354e-6,1.279714109347907e-6,7.910609081118736e-7,9.185892613228219e-8
3.353867214236824,9.439680215272972e-8,3.810919582125649e-6,1.318353139101447e-6,7.99814684482314e-7,9.395964672975765e-8
3.4223134839151266,9.655220645221618e-8,3.876574171113312e-6,1.3583941559369705e-6,8.088365717195956e-7,9.61125163900789e-8
3.490759753593429,9.876015027998619e-8,3.9444668346044764e-6,1.3998568280104706e-6,8.181290397368812e-7,9.831783986946618e-8
3.5592060232717317,1.0102092640185134e-7,4.014625022752405e-6,1.4427605051769987e-6,8.276945131502345e-7,1.00575909156575e-7
3.6276522929500343,1.0333482314273112e-7,4.087075733072432e-6,1.487124216659197e-6,8.375353783840467e-7,1.028870114661018e-7
3.696098562628337,1.0570211195215506e-7,4.1618454901248825e-6,1.5329666507302164e-6,8.476539734569855e-7,1.052514176924646e-7
3.764544832306639,1.0812305961671598e-7,4.238960345182008e-6,1.5803061552688291e-6,8.580525984180909e-7,1.076693937340778e-7
3.8329911019849416,1.1059791871215197e-7,4.3184458557998795e-6,1.6291607171092792e-6,8.687335061319246e-7,1.1014119127850108e-7
3.9014373716632442,1.1312693271037233e-7,4.400327079046029e-6,1.679547957822436e-6,8.796989078296846e-7,1.1266705313150993e-7
3.969883641341547,1.1571033420310073e-7,4.4846285576216616e-6,1.7314851182836932e-6,8.909509706667151e-7,1.1524721066358268e-7
