Time,Left_Fuse_MCCB,Left_MCCB,Left_Fuse,Left_HCB,Left_SSCB,Right_Fuse_MCCB,Right_MCCB,Right_Fuse,Right_HCB,Right_SSCB
15.605749486652977,1.1561660164804977e-6,1.3425143421619268e-5,1.0946675794154537e-5,2.8069063904290203e-6,1.1551479931481978e-6,1.1564275702591331e-6,2.6469756275848688e-5,9.576574604097665e-6,4.917059257203427e-6,1.1551479931481978e-6
15.67419575633128,1.1632910668080143e-6,1.3455355086122722e-5,1.0926111091436042e-5,2.823197771228969e-6,1.1622676037159607e-6,1.1635542040977498e-6,2.649198002335762e-5,9.548575016893324e-6,4.945741768236367e-6,1.1622676037159607e-6
15.742642026009582,1.1703961949605102e-6,1.3484298378996229e-5,1.090389772495648e-5,2.839385415009943e-6,1.1693673396262483e-6,1.1706608995520895e-6,2.6511091794967356e-5,9.51898853651656e-6,4.974198792973006e-6,1.1693673396262483e-6
15.811088295687885,1.1774810753095721e-6,1.3511981707625687e-5,1.0880066662721788e-5,2.855466983642252e-6,1.1764468764718927e-6,1.1777473309937392e-6,2.6527126724795735e-5,9.487847722811082e-6,5.002425214062356e-6,1.1764468764718927e-6
15.879534565366187,1.1845453892211921e-6,1.3538414280755973e-5,1.0854650210889716e-5,2.8714401620888452e-6,1.1835058971731982e-6,1.1848131794556238e-6,2.6540122105900288e-5,9.455186459672582e-6,5.030415958118262e-6,1.1835058971731982e-6
15.94798083504449,1.1915888299407484e-6,1.3563606097277692e-5,1.0827681984904025e-5,2.8873026634013144e-6,1.1905440956416768e-6,1.1918581376280102e-6,2.655011734942203e-5,9.421039923518393e-6,5.058166002269715e-6,1.1905440956416768e-6
16.01642710472279,1.1986111018158496e-6,1.3587567932127342e-5,1.0799196874411443e-5,2.9030522294970496e-6,1.1975611776682271e-6,1.19888190952544e-6,2.655715393551361e-5,9.38544454931467e-6,5.085670376936413e-6,1.1975611776682271e-6
16.084873374401095,1.2056119127468179e-6,1.3610311311085255e-5,1.0769230998075585e-5,2.918686624608924e-6,1.2045568523744166e-6,1.2058842031592576e-6,2.6561275353609304e-5,9.348437982614755e-6,5.112924159056398e-6,1.2045568523744166e-6
16.153319644079396,1.2125909859550532e-6,1.3631848503892208e-5,1.0737821675710357e-5,2.9342036472757016e-6,1.2115308437588013e-6,1.2128647408626847e-6,2.6562527059015295e-5,9.310059052580755e-6,5.139922486852022e-6,1.2115308437588013e-6
16.2217659137577,1.2195480501020484e-6,1.3652192497826121e-5,1.070500737787583e-5,2.9496011221263885e-6,1.2184828817041193e-6,1.2198232509641471e-6,2.6560956405741187e-5,9.270347719803063e-6,5.166660552058389e-6,1.2184828817041193e-6
16.290212183436,1.226482841176768e-6,1.3671356979161331e-5,1.0670827685799189e-5,2.9648769029888555e-6,1.2254127034205808e-6,1.2267594694526096e-6,2.6556612588990447e-5,9.229345035333125e-6,5.193133604697309e-6,1.2254127034205808e-6
16.358658453114305,1.2333951096010765e-6,1.368935631873569e-5,1.063532325173977e-5,2.980028879773222e-6,1.2323200604402729e-6,1.233673146305847e-6,2.654954658654063e-5,9.187093101714616e-6,5.219336960071708e-6,1.2323200604402729e-6
16.427104722792606,1.240284615899867e-6,1.3706205547192596e-5,1.0598535750028226e-5,2.995054975807321e-6,1.2392047141762674e-6,1.2405640414936414e-6,2.653981108990955e-5,9.143635021024998e-6,5.245265999653803e-6,1.2392047141762674e-6
16.49555099247091,1.2471511229295018e-6,1.3721920324449854e-5,1.0560507821000265e-5,3.0099531413974034e-6,1.2460664287061718e-6,1.2474319178723547e-6,2.6527460428860117e-5,9.099014839919484e-6,5.270916163424566e-6,1.2460664287061718e-6
16.56399726214921,1.2539944055367513e-6,1.3736516925821896e-5,1.0521283030806572e-5,3.0247213633760595e-6,1.2529049799869796e-6,1.2542765499556907e-6,2.6512550508450694e-5,9.053277507886648e-6,5.296282962974352e-6,1.2529049799869796e-6
16.632443531827516,1.2608142575532e-6,1.3750012224700292e-5,1.048090582678185e-5,3.039357673650933e-6,1.2597201626274313e-6,1.2610977311311444e-6,2.6495138743865e-5,9.006468831507242e-6,5.32136198905242e-6,1.2597201626274313e-6
16.700889801505816,1.2676104583775327e-6,1.3762423634489096e-5,1.0439421452734798e-5,3.053860116675189e-6,1.2665117570254125e-6,1.2678952403533117e-6,2.6475283951277184e-5,8.958635390077241e-6,5.346148882034996e-6,1.2665117570254125e-6
16.76933607118412,1.2743828278205527e-6,1.3773769137359615e-5,1.039687594972527e-5,3.068226805180707e-6,1.2732795842129718e-6,1.2746688974329956e-6,2.64530463257584e-5,8.909824534941713e-6,5.370639388657672e-6,1.2732795842129718e-6
16.83778234086242,1.2811311698168737e-6,1.3784067202426975e-5,1.0353316044264815e-5,3.0824558648889777e-6,1.2800234490129014e-6,1.2814185057496985e-6,2.642848730460834e-5,8.860084276474112e-6,5.394829306504256e-6,1.2800234490129014e-6
16.906228610540726,1.287855309395347e-6,1.3793336794187816e-5,1.0308789128776752e-5,3.096545471592549e-6,1.2867431772312088e-6,1.2881438902212494e-6,2.6401669523612448e-5,8.8094632657576e-6,5.418714524640933e-6,1.2867431772312088e-6
16.974674880219027,1.2945550675880213e-6,1.3801597321227987e-5,1.0263343180660911e-5,3.1104938283954553e-6,1.2934385911211876e-6,1.2948448714356076e-6,2.6372656709350295e-5,8.758010710097075e-6,5.4422910000795355e-6,1.2934385911211876e-6
17.04312114989733,1.301230294847855e-6,1.3808868639886285e-5,1.0217026736092372e-5,3.124299198686842e-6,1.300109542023975e-6,1.3015212998457315e-6,2.6341513627348156e-5,8.70577634892733e-6,5.465554793082639e-6,1.300109542023975e-6
17.111567419575632,1.3078808347444237e-6,1.3815170990305603e-5,1.0169888795097393e-5,3.137959871057916e-6,1.3067558742863028e-6,1.3081730184660856e-6,2.630830596039857e-5,8.652810356557517e-6,5.488502032857667e-6,1.3067558742863028e-6
17.180013689253936,1.314506547833716e-6,1.3820524990659777e-5,1.0121978785582186e-5,3.1514741843929883e-6,1.3133774493523376e-6,1.3147998876306133e-6,2.627310024594376e-5,8.599163306088897e-6,5.5111289443132705e-6,1.3133774493523376e-6
17.248459958932237,1.3211073024432807e-6,1.3824951598184754e-5,1.0073346493832958e-5,3.1648405194317775e-6,1.319974136437807e-6,1.321401775333797e-6,2.6235963777598847e-5,8.544886099137727e-6,5.533431839843672e-6,1.319974136437807e-6
17.31690622861054,1.3276829684549796e-6,1.3828472073651454e-5,1.0024041996903321e-5,3.178057292885228e-6,1.326545806312751e-6,1.3279785516795428e-6,2.6196964511338017e-5,8.490029897889606e-6,5.5554071161090235e-6,1.326545806312751e-6
17.385352498288842,1.3342334269639267e-6,1.3831107959161315e-5,9.974115610544843e-6,3.191122968315696e-6,1.3330923407384176e-6,1.3345300968747864e-6,2.6156170983449023e-5,8.434646071808771e-6,5.577051264027411e-6,1.3330923407384176e-6
17.453798767967147,1.3407585811586742e-6,1.3832881060382718e-5,9.923617838580867e-6,3.2040360679053137e-6,1.3396136437915374e-6,1.3410563138860354e-6,2.6113652233261675e-5,8.378786147344996e-6,5.598360883873887e-6,1.3396136437915374e-6
17.522245037645447,1.3472583203499866e-6,1.383381337949352e-5,9.872599275206895e-6,3.2167951372619186e-6,1.346109605671053e-6,1.3475570924681435e-6,2.6069477675583208e-5,8.32250170901272e-6,5.619332649753339e-6,1.346109605671053e-6
17.590691307323752,1.3537325624923824e-6,1.3833927125173062e-5,9.821110584340431e-6,3.229398787940596e-6,1.3525801447755725e-6,1.3540323495764284e-6,2.6023717051515405e-5,8.265844378407827e-6,5.639963353787358e-6,1.3525801447755725e-6
17.659137577002053,1.360181219656198e-6,1.3833244650318655e-5,9.769202403919763e-6,3.2418456654692562e-6,1.3590251743966775e-6,1.3604819975032711e-6,2.5976440304442683e-5,8.208865717729275e-6,5.660249874916978e-6,1.3590251743966775e-6
17.727583846680357,1.3666042231186282e-6,1.383178844294175e-5,9.716925308156377e-6,3.2541344727743393e-6,1.3654446262556519e-6,1.3669059671927997e-6,2.5927717512641557e-5,8.151617191698435e-6,5.6801892045488245e-6,1.3654446262556519e-6
17.796030116358658,1.3730015080426483e-6,1.3829581082758224e-5,9.664329730374455e-6,3.2662639575242736e-6,1.3718384359595603e-6,1.3733041934749224e-6,2.5877618784475587e-5,8.094150090176555e-6,5.699778432566305e-6,1.3718384359595603e-6
17.864476386036962,1.3793730107014568e-6,1.3826645206549415e-5,9.611465899728167e-6,3.2782329097980067e-6,1.378206540780802e-6,1.3796766126228377e-6,2.5826214164914596e-5,8.036515464104887e-6,5.719014748550855e-6,1.378206540780802e-6
17.932922655715263,1.3857186906829355e-6,1.3823003499724429e-5,9.558383800900572e-6,3.2900401839563997e-6,1.3845489008623701e-6,1.3860231838913606e-6,2.5773573569032315e-5,7.978764084759504e-6,5.737895463431286e-6,1.3845489008623701e-6
18.001368925393567,1.3920385021348736e-6,1.3818678638255477e-5,9.505133086173956e-6,3.301684671663807e-6,1.3908654707961432e-6,1.3923438612062355e-6,2.571976666287945e-5,7.920946355044478e-6,5.756417983171502e-6,1.3908654707961432e-6
18.069815195071868,1.3983324077537773e-6,1.3813693271913507e-5,9.451763028689442e-6,3.3131653157658647e-6,1.397156214166806e-6,1.398638607263969e-6,2.5664862791763277e-5,7.863112263306604e-6,5.774579825423842e-6,1.397156214166806e-6
18.138261464750173,1.4046003942169705e-6,1.3808070010834506e-5,9.398322479481358e-6,3.3244811269428354e-6,1.4034211179847489e-6,1.4049074084088176e-6,2.5608930907528027e-5,7.805311339037502e-6,5.792378634739137e-6,1.4034211179847489e-6
18.206707734428473,1.4108424333247882e-6,1.3801831356574645e-5,9.344859769777614e-6,3.3356311454069143e-6,1.4096601546054188e-6,1.411150236219072e-6,2.555203944476503e-5,7.747592555396032e-6,5.809812146373439e-6,1.4096601546054188e-6
18.275154004106774,1.4170585239670075e-6,1.3794999716876255e-5,9.29142269712191e-6,3.3466144829796818e-6,1.4158733234737042e-6,1.4173670895845092e-6,2.5494256279401384e-5,7.690004314442334e-6,5.8268782300308075e-6,1.4158733234737042e-6
18.34360027378508,1.4232486558185542e-6,1.3787597339942614e-5,9.23805843244807e-6,3.3574302882311002e-6,1.4220606147086201e-6,1.4235579578469881e-6,2.5435648610461215e-5,7.632594353990108e-6,5.843574854114131e-6,1.4220606147086201e-6
18.41204654346338,1.4294128393155248e-6,1.3779646317879646e-5,9.184813494322874e-6,3.3680777760114466e-6,1.4282220393013745e-6,1.4297228516646499e-6,2.5376282907996206e-5,7.575409722626603e-6,5.859900117699546e-6,1.4282220393013745e-6
18.480492813141684,1.4355510867813948e-6,1.3771168540066547e-5,9.131733679113019e-6,3.3785562101318334e-6,1.4343576099085098e-6,1.4358617828058584e-6,2.5316224817606425e-5,7.51849670721505e-6,5.875852233439005e-6,1.4343576099085098e-6
18.548939082819984,1.441663424972539e-6,1.3762185680388228e-5,9.078864018685628e-6,3.388864915354617e-6,1.4404673536194679e-6,1.4419747780269887e-6,2.5255539095603297e-5,7.461900793148679e-6,5.89142953977273e-6,1.4404673536194679e-6
18.61738535249829,1.4477498659903887e-6,1.3752719142168246e-5,9.02624870313673e-6,3.399003250081911e-6,1.4465512828687466e-6,1.4480618493184494e-6,2.5194289505869882e-5,7.405666584525683e-6,5.9066304755051036e-6,1.4465512828687466e-6
18.68583162217659,1.4538104582406675e-6,1.3742790084925183e-5,8.973931082345565e-6,3.4089706570927802e-6,1.4526094469502482e-6,1.4541230451969867e-6,2.5132538799765847e-5,7.349837806924775e-6,5.92145363043084e-6,1.4526094469502482e-6
18.754277891854894,1.4598452350300661e-6,1.3732419348544411e-5,8.921953566054519e-6,3.4187666116958226e-6,1.458641878615552e-6,1.4601583984141797e-6,2.5070348594002922e-5,7.294457206374894e-6,5.935897694708814e-6,1.458641878615552e-6
18.822724161533195,1.4658542535350705e-6,1.3721627470264508e-5,8.870357619650271e-6,3.4283906634735573e-6,1.4646486360403443e-6,1.4661679664795813e-6,2.5007779344665693e-5,7.239566545913512e-6,5.9499615004954265e-6,1.4646486360403443e-6
18.8911704312115,1.4718375630495828e-6,1.3710434630165302e-5,8.819183687447385e-6,3.437842402309599e-6,1.4706297684075054e-6,1.472151798465049e-6,2.4944890250178098e-5,7.18520652720489e-6,5.96364398997018e-6,1.4706297684075054e-6
